content,type
"As you go forth into life today
Do not forget what God has done
He sent the lamb a sacrifice
His only begotten Son

To die upon the cross
His blood spilled for you and me
That we from satans hold
Might with faith be made free

Jesus is the risen lamb
To the earth He will return
To recieve all who love Him
To claim them as His own",Religion
"I love you as a sheriff searches for a walnut
That will solve a murder case unsolved for years
Because the murderer left it in the snow beside a window
Through which he saw her head, connecting with
Her shoulders by a neck, and laid a red
Roof in her heart. For this we live a thousand years;
For this we love, and we live because we love, we are not
Inside a bottle, thank goodness! I love you as a
Kid searches for a goat; I am crazier than shirttails
In the wind, when you’re near, a wind that blows from
The big blue sea, so shiny so deep and so unlike us;
I think I am bicycling across an Africa of green and white fields
Always, to be near you, even in my heart
When I’m awake, which swims, and also I believe that you
Are trustworthy as the sidewalk which leads me to
The place where I again think of you, a new
Harmony of thoughts",Love
"I own a solace shut within my heart,
           A garden full of many a quaint delight
           And warm with drowsy, poppied sunshine; bright,
          Flaming with lilies out of whose cups dart
              Shining things
              With powdered wings.

          Here terrace sinks to terrace, arbors close
           The ends of dreaming paths; a wanton wind
           Jostles the half-ripe pears, and then, unkind,
          Tumbles a-slumber in a pillar rose,
              With content
              Grown indolent.

          By night my garden is o’erhung with gems
           Fixed in an onyx setting. Fireflies
           Flicker their lanterns in my dazzled eyes.
          In serried rows I guess the straight, stiff stems
              Of hollyhocks
              Against the rocks.",Nature
"Even the gods misuse the unfolding blue. Even the gods misread the windflower’s nod toward sunlight as consent to consume. Still, you envy the horse that draws their chariot. Bone of their bone. The wilting mash of air alone keeps you from scaling Olympus with gifts of dead or dying things dangling from your mouth—your breath, like the sea, inching away. It is rumored gods grow where the blood of a hanged man drips. You insist on being this man. The gods abuse your grace. Still, you’d rather live among   the clear, cloudless white, enjoying what is left of their ambrosia. Who  should  be  happy  this  time?  Who  brings  cake  to whom? Pray  the  gods  do  not  misquote  your  covetous pulse for chaos, the black from which they were conceived. Even the eyes of gods must adjust to light. Even gods have gods.",Mythology
"Into the furnace let me go alone;
Stay you without in terror of the heat.
I will go naked in--for thus 'tis sweet--
Into the weird depths of the hottest zone.
I will not quiver in the frailest bone,
You will not note a flicker of defeat;
My heart shall tremble not its fate to meet,
My mouth give utterance to any moan.
The yawning oven spits forth fiery spears;
Red aspish tongues shout wordlessly my name.
Desire destroys, consumes my mortal fears,
Transforming me into a shape of flame.
I will come out, back to your world of tears,
A stronger soul within a finer frame. ",Religion
"Except within poetic pale
   I have not found a nightingale,
Nor hearkened in a dusky vale
   To song and silence blending;
No stock-dove have I ever heard,
Nor listened to a cuckoo-bird,
   Nor seen a lark ascending.
But I have felt a pulse-beat start
   Because a robin, spending
The utmost of his simple art
Some of his pleasure to impart
   While twilight came descending,
Has found an answer in my heart,
   A sudden comprehending. ",Nature
"Oh, how silent is the nature,
It only looks and only hears,
The people's spirit in a rapture
Clings to a freedom -- fast and fierce.

This planet will forget offences
Of him who trades, of him who kills,
And, as in reminiscences,
Druids will teach from greenish hills.

And, as in olden times, the poets
Will lead men's souls up to heights,
Like Angel leads the dazzling comets
To a point, that is not in sight. ",Nature
"She has her own special way
Of turning around my terrible day.
She makes all the bad things go away
The second that she says hey.

And when I look into her eyes,
I see pure beauty with no disguise.
Just a glance at her makes my heartbeat rise.
I know for a fact that these feelings aren't lies.

If only she knew
How much my love for her grew,
Maybe, just maybe, we could start something new,
And then I'd never feel blue.

And if beauty were inches, she'd go on for miles.
I'd better catch her before I go out of style.
I'm going to let my heart be my dial
So I can tell her what I've been feeling for a while.



",Love
"Since there’s no help, come let us kiss and part;
Nay, I have done, you get no more of me,
And I am glad, yea glad with all my heart
That thus so cleanly I myself can free;
Shake hands forever, cancel all our vows,
And when we meet at any time again,
Be it not seen in either of our brows
That we one jot of former love retain.
Now at the last gasp of Love’s latest breath,
When, his pulse failing, Passion speechless lies,
When Faith is kneeling by his bed of death,
And Innocence is closing up his eyes,
Now if thou wouldst, when all have given him over,
From death to life thou mightst him yet recover.",Love
"Wilt thou forgive that sin where I begun,
Which was my sin, though it were done before?
Wilt thou forgive that sin, through which I run,
And do run still, though still I do deplore?
When thou hast done, thou hast not done,
For I have more.

Wilt thou forgive that sin which I have won
Others to sin, and made my sin their door?
Wilt thou forgive that sin which I did shun
A year or two, but wallowâ€™d in, a score?
When thou hast done, thou hast not done,
For I have more.

I have a sin of fear, that when I have spun
My last thread, I shall perish on the shore;
But swear by thyself, that at my death thy Son
Shall shine as he shines now, and heretofore;
And, having done that, thou hast done;
I fear no more.",Religion
"The North-wind fall’n, in the new starréd night
Zidonian Hanno, voyaging beyond
The hoary promontory of Soloë
Past Thymiaterion, in calméd bays,
Between the Southern and the western Horn,
Heard neither warbling of the nightingale,
Nor melody of the Lybian lotus flute
Blown seaward from the shore; but from a slope
That ran bloom-bright into the Atlantic blue,
Beneath a highland leaning down a weight
Of cliffs, and zoned below with cedar shade,
Came voices, like the voices in a dream,
Continuous, till he reached the other sea.",Mythology
"There are places for chaos on the page,
meaningful, apparent
confusion?ï¿½?temps en temps on the continent
does not mean ï¿½time to timeï¿½ in Kent,
or Greenwich. From stone through weeds and parchment,
through bad times, words made their way to the printed page.
Bibles now not just for those who go to worship by carriage,
but for those who pray with bare feet,
some washed, some smelling of stables and excrement.

Iï¿½m not sure the words ocean and sea
mean the same to you and me.
Ninety-five percent universal confusion,
dark matter was born with the legitimacy
of an onion, the roar of a lion.
I sit in the rumble seat of judgment,
I damn myself for entertainment,
for wasting time on hopeless entertainment.
I am guilty of snarling lines, Gordian
knots in my ï¿½Shakespeareï¿½ fishing reels.
I must untangle this because eels
have hearts like us. The enemy
is symmetry.
In the spring of content,
I trust glorious chaos. I smell in disorder
the outhouse of order.

I must have respect for what I kill and eat,
Jesus gave them loaves and fishes, not meat.
He added, ï¿½Waste nothing you eat,ï¿½
he did not say, ï¿½Waste is chaos made by me,
or my Father, one person who is three.ï¿½
Rebecca, at the well,
said, ï¿½Drink. Water your camels.ï¿½
I swear, my hands each on a Bible,
the only evidence admissible is invisible.
At twenty, I was lost in the snow, a sleigh bell.

Chaos is not a ï¿½sometime thing,ï¿½
its face and back are turned to and from us,
what I cannot see is beautiful, or an isthmus
that connects almost nothing to almost nothing?ï¿½?
the great unless, either/or.
I grab on to metaphor,
uncertainty, dark matter, gravity specific.
The motto I nail to my door:
The Devil generalizes, angels are specific.
Chaos makes me merry,
string or rose-by-any-other-rose theory,
romance of the rose,
roses that go with any other flower,
from devilï¿½s paintbrush to huckleberry.
From fertile Chaos sprang Eros and Night:
Chaos danced first with Eros, then jealous Night.
Time carries a scythe, women and men sound the hour.
I model for myself, I pose in north light.

With helpers, his stevedore brothers, Hypnos
and Thanatos, Charon still poles his familiar ferry
across the Styx to an island where skeletons dance.
Einstein said, ï¿½I too believe in appearance,ï¿½
he didnï¿½t think Old One plays dice, takes chances.
You bet your bottom dollar the universe
rhymes with another universe like verse.
Yeats, Herrick, and Herbert would like that.
To them, I lift my hat.
Delphic chaos is wise,
metaphoric thinking multiplies
bunches of grapes, by tripod, by butterflies.
Chaos is endless longing?ï¿½?
Godï¿½s pussycat.
In Prague, Mozart knew a starling
who sang his piano concerto all along,
except for one note he always got wrong.",Religion
"I love you because I love you...
and because I love you, I hate you!
and from hating you,
I love you more than my own life

I love you because I love you,
and because I love you, I hate you.!
I hate you when you are morning sadness
but I love you when you are night happiness

I love you because I love you,
and because I love you, I hate you!
I hate you when you want to be what you are not
in the cold dawns,
but I love you like you are
in the hot nights of the cheerful summer.

I love you because I love you,
and because I hate you, I love you.! !
I love you because you have
the mischievous boy's infinite happiness
lost in the rain of the afternoon,
but I hate you when the gloom floods you.

I hate you because I love you,
and because I love you, I hate you !
I love you because you have the sensibility
and the fondness contained in a loving tear,
but I hate you when you are a lot of hidden memories.",Love
"life is life, however it would go
love is love, no matter what would occur
love is growing more with every hearts beat
feelings of my heart could never change
love is life, life is love
you can enjoy them as much as you want",Love
"When I behold a forest spread
With silken trees upon thy head;
And when I see that other dress
Of flowers set in comeliness;
When I behold another grace
In the ascent of curious lace,
Which, like a pinnacle, doth shew
The top, and the top-gallant too;
Then, when I see thy tresses bound
Into an oval, square, or round,
And knit in knots far more than I.
Can tell by tongue, or True-love tie;
Next, when those lawny films I see
Play with a wild civility;
And all those airy silks to flow,
Alluring me, and tempting so--
I must confess, mine eye and heart
Dotes less on nature than on art.",Nature
"And the dusk gathered low,
And the silver moon and stars
On the frozen snow
Drew taper bars,
Kindled winking fires
In the hooded briers.

And the sprawling Bear
Growled deep in the sky;
And Orion’s hair
Streamed sparkling by:
But the North sighed low,
“Snow, snow, more snow!”",Mythology
"From Clee to heaven the beacon burns,
    The shires have seen it plain,
From north and south the sign returns
    And beacons burn again.  

Look left, look right, the hills are bright,
    The dales are light between,
Because ’tis fifty years to-night
    That God has saved the Queen.

Now, when the flame they watch not towers
    About the soil they trod,
Lads, we’ll remember friends of ours
    Who shared the work with God.

To skies that knit their heartstrings right,
    To fields that bred them brave,
The saviours come not home to-night:
    Themselves they could not save.

It dawns in Asia, tombstones show
    And Shropshire names are read;
And the Nile spills his overflow
    Beside the Severn’s dead.

We pledge in peace by farm and town
    The Queen they served in war,
And fire the beacons up and down
    The land they perished for.

‘God save the Queen’ we living sing,
    From height to height ’tis heard;
And with the rest your voices ring,
    Lads of the Fifty-third.
",Mythology
"A glimpse through an interstice caught,
Of a crowd of workmen and drivers in a bar-room around the stove late of a winter night, and I unremark’d seated in a corner,
Of a youth who loves me and whom I love, silently approaching and seating himself near, that he may hold me by the hand,
A long while amid the noises of coming and going, of drinking and oath and smutty jest,
There we two, content, happy in being together, speaking little, perhaps not a word.",Love
"And they were taught while here on earth their spirits to prepare,
To join the Manitou himself, in the happy hunting-ground somewhere;
That they must never lie and steal; must for each other care;
That principles are gems that pass us to that country there.
And even though the wars do come with aggressive tribe or band,
No warrior shall strike a fallen foe, or wrong a helpless hand;
And if your foe shall sue for peace, let not his plea be vain,
Produce the pipe, and smoke with him, smothering the wrathful flame.

And while the smoke ascends above, breathe a prayer together,
That spirits of departed friends make peace beyond the river;
The Manitou’s compassion seek, for he was sorely grieved,
Provide for the widows of the slain, that their needs be relieved.
If a stranger enters in your lodge, give him both food and bed,
E’en if known to be your foe, no harm hangs o’er his head,
For now he is your honored guest, your protection he does claim;
Whate’er your source of difference be, contest it on the plain.

The voice of the Great Spirit now is heard in every clime,
The rumblings of the thunder, the whisperings of the pine;
The works of the Great Spirit are seen on every hand,
Flowers, forests, mountains, stars, sun and even man.",Mythology
"Until I learned to trust the Lord,
I never learned to pray;
And never learned to fully trust,
Til sorrow came my way.

Until I felt my weakness, 
His strength I never knew,
Nor dreamed, til I was stricken,
that He could see me through.",Religion
"Wearing nothing but snakeskin
boots, I blazed a footpath, the first
radical road out of that old kingdom
toward a new unknown.
When I came to those great flaming gates
of burning gold,
I stood alone in terror at the threshold
between Paradise and Earth.
There I heard a mysterious echo:
my own voice
singing to me from across the forbidden
side. I shook awake—
at once alive in a blaze of green fire.

Let it be known: I did not fall from grace.

I leapt
to freedom.",Mythology
"Of all of God's creation
I love you foremost
Tower of inspiration
And kindness utmost

Providing motivation
Giving me support
Helping ease frustration
With friendly comfort

I'm frozen by your beauty
Melted with your touch
In your arms I long to be
I love you so much

Even after many a year
The love of my life
You're the one I hold most dear
Blest you are my wife",Love
"Old age hath yet his honor and his toil.
Death closes all; but something ere the end,
Some work of noble note, may yet be done, 
Not unbecoming men that strove with gods.
The lights begin to twinkle from the rocks;
The long day wanes; the slow moon climbs; the deep
Moans round with many voices. Come, my friends,
‘Tis not too late to seek a newer world.
Push off, and sitting well in order smite
The sounding furrows; for my purpose holds
To sail beyond the sunset, and the baths
Of all the western stars, until I die.
It may be that the gulfs will wash us down;
It may be we shall touch the Happy Isles,
And see the great Achilles, whom we knew.
Though much is taken, much abides; and though
We are not now that strength which in old days
Moved earth and heaven, that which we are, we are,
One equal temper of heroic hearts,
Made weak by time and fate, but strong in will
To strive, to seek, to find, and not to yield. 
",Mythology
"Afoot he viewed a silver lake
And took himself to take a drink-
Then beauty moved his thirsting soul,
As there he bent above the brink.
 
No mortal flesh this seemed to he
Who marveled at its dear design-
Behold, a face beheld him back,
Whose symmetry was pure divine!
 
Handsome was the heav’nly sight
That rip’ling lay within the clear;
He touched his finger to its cheek
And wavelets had it disappear.
 
When agitation placid came
He dared- from love- new love embrace;
But wading through the wat’ry void
Disturbed the beauty of its face.
 
Again it came, again he touch’d;
Again the figure fluctuates.
Lamenting there aside that bank
He cursed himself and all the Fates:",Mythology
"The seed of love is lying in my heart
the clouds are becoming heavy
the air has become cool and breezy
mountains stands tall and steady
and my hopes are floating on waves
the leaves are rustling so my wishes
and all are desperate to see the dream come true
and this spring is on door steps
the first droplet dances past the eagle
peacock opened its wings
the breeze carries the fragrance
and in seconds the spring zooms ",Love
"As drear and barren as the glooms of Death,
It lies, a windless land of livid dawns,
Nude to a desolate firmament, with hills
That seem the gibbous bones of the mummied Earth,
And plains whose hollow Face is rivelled deep
With gullies twisting like a serpent's track.
The leprous touch of Death is on its stones,
Where, for his token visible, the Head
Is throned upon a heap of monstrous rocks
Rough-mounded like some shattered pyramid
In a thwartly cloven hill-ravine, that seems
The unhealing scar of huge Tellurian wars.
Her lethal beauty crowned with twining snakes
That mingle with her hair, the Gorgon reigns.
Her eyes are clouds wherein black lightnings lurk,
Yet, even as men that seek the glance of Life,
The gazers come, where, coiled and serpent-swift,
Those levins wait. As round an altar-base
Her victims lie, distorted, blackened forms
Of postured horror smitten into stone—
Time caught in meshes of Eternity—
Drawn back from dust and ruin of the years,
And given to all the future of the world",Mythology
"LOVE - what is love? A great and aching heart;
Wrung hands; and silence; and a long despair.
Life - what is life? Upon a moorland bare
To see love coming and see love depart. ",Love
"I can not fathom, the reasons
nor understand the significance
why does love just blossoms
in the garden of the heart's stance
and grows abundantly
at any given chance

Love I suppose, is freedom
of the heart and soul
It exists to sooth boredom
and brings zest to all
No matter what it does
Its nativity is a call

For love is love
Boundless and true",Love
"Men, fires, feasts,
steps of temple, fore-stone, lintel,
step of white altar, fire and after-fire,
slaughter before,
fragment of burnt meat,
deep mystery, grapple of mind to reach
the tense thought,
power and wealth, purpose and prayer alike,
(men, fires, feasts, temple steps)—useless.

Useless to me who plant
wide feet on a mighty plinth,
useless to me who sit,
wide of shoulder, great of thigh,
heavy in gold, to press
gold back against solid back
of the marble seat:
useless the dragons wrought on the arms,
useless the poppy-buds and the gold inset
of the spray of wheat.

Ah they have wrought me heavy
and great of limb—
she is slender of waist,
slight of breast, made of many fashions;
they have set her small feet
on many a plinth;
she they have known,
she they have spoken with,
she they have smiled upon,
she they have caught
and flattered with praise and gifts.

But useless the flattery
of the mighty power
they have granted me:
for I will not stay in her breast
the great of limb,
though perfect the shell they have
fashioned me, these men!

Do I sit in the market place—
do I smile, does a noble brow
bend like the brow of Zeus—
am I a spouse, his or any,
am I a woman, or goddess or queen,
to be met by a god with a smile—and left?",Mythology
"Hello God, I called tonight
To talk a little while...
I need a friend who'll listen,
To my anxieties and trials...

You see, I can't quite make it
Through a day jut on my own...
I need your love toguide me,
So I'll never feel alone.

I want to ask you please to keep
My family safe and sound.
Come and fill their lives with confidence,
For whatever fate they're bound.",Religion
"The story is so simple

really. Imagine

yourself gifted with wings,

every child's sleeping

and waking dream, imagine

that you could defy

that force dragging us all

to heel, imagine every sweet safe

green harbor below, laid out

for your choosing

like candies in their box.

Then imagine that one

gold coin, that fierce and pulsing

point around which worlds dance,

imagine the gentleness below

and that wildness above, imagine

that something in you echoed

to the leaping of its flames,

imagine how its one question

beat in your veins, how you saw

with perfect clarity that moment

in which each of us chooses,

forever. Imagine that voice

far below crying: Come

back      Come back",Mythology
"There will be a brighter tomorrow someday
I'll look up and the clouds will move away
And when I hear that trumpet's loud blast
I will know that Jesus has returned at last.

There will be a brighter tomorrow someday
When I'll see Jesus in His glorified array
All God's children will be taken up in the air
Others will be confessing and saying prayers

There will be a brighter tomorrow someday
I'll be watching, waiting; I won't be afraid
It will be a great Heaven going home time
And I pray to Jesus no one gets left behind.",Religion
"After passing Hercules’ pillars the ocean that surrounds the world becomes strange and infuriate.

And in its course it creates darksome types of men and wonderful animals. There is a great serpent, with golden beard, which governs its kingdom wisely; and some women of this country have an eye at the extremity of each finger. Others have beaks and crests like birds; otherwise they resemble us. On one isle at which I landed, the inhabitatns carried their heads where our stomachs are located; and when they saluted us they bowed their abdomens. As to cyclops, pigmies and giants I will say naught of them; for their number is too great.

None of these things appeared to partake of the unnatural to me; I felt no terror of them. But one evening we reached Scyllaeum. Our bark touched sand on the Sicilian side. As I was turning the rudder I perceived in the water’s midst the head of a woman with closed eyes. Her hair was tinged with gold. She seemed to sleep. And then, indeed, I trembled for I feared to look into her eyes, well knowing that, having once gazed therein, I should turn the rudder of our boat toward the seething whirlpool.",Mythology
"It is only a tiny rosebud
A flower of God's design;
But I cannot unfold the petals
With these clumsy hands of mine

The secret of unfolding flowers
Is not known to such as I
The flower God opens so gently
In my hands would fade and die

If I cannot unfold a rosebud,
This flower of God's design,
How can I have wisdom
To unfold this life of mine?",Religion
"When pulled, the spider web took another form.
The bull’s-eye relaxed, the bull unseen but felt,
skull on muscle paused on the forest floor.
The girl said oh, as she had heard her mother
say before. The spider had already hidden
in the labyrinth of a tree. The city ran
on coal and gasoline as it breathed, impatient
in the heat it generated in its need. The bull
kept one hoof in the woods, one on the road,
and didn’t blink. The girl, gone backward
from his eye, wiped the silver of his face
off of her own, aware now of its size, one eye
as large as her face. Even after she’d walked on,
she still sensed threads across her skin.",Nature
"Love, love, love...
Thanks goes to the all mighty one from up above.
You've brought my mate just to my side...
You've led the spiritual path for your son's holy guided stride.
He gave up his life for your good holy loved wide spread word...
Many people were forgiven,
of this fact forgiven ex-sinners have world widely heard.
Fate united me to my bride...
Cupid's arrow gave me such a wonderful wild crazy ride.
Thank God...
Amen!",Love
"How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.
I love thee to the level of every day's
Most quiet need, by sun and candlelight.
I love thee freely, as men strive for right;
I love thee purely, as they turn from Praise.
I love with a passion put to use
In my old griefs, and with my childhood's faith.
I love thee with a love I seemed to lose
With my lost saints, I love thee with the breath,
Smiles, tears, of all my life! and, if God choose,
I shall but love thee better after death.",Love
"I know a country laced with roads,
           They join the hills and they span the brooks,
          They weave like a shuttle between broad fields,
           And slide discreetly through hidden nooks.
          They are canopied like a Persian dome
           And carpeted with orient dyes.
          They are myriad-voiced, and musical,
           And scented with happiest memories.
          O Winding roads that I know so well,
           Every twist and turn, every hollow and hill!
          They are set in my heart to a pulsing tune
           Gay as a honey-bee humming in June.
          ‘T is the rhythmic beat of a horse’s feet
           And the pattering paws of a sheep-dog bitch;
          ‘T is the creaking trees, and the singing breeze,
           And the rustle of leaves in the road-side ditch.",Nature
"Birds sing ""I love you, love"" the whole day through,
And not another song can they sing right;
But, singing done with, loving's done with quite,
The autumn sunders every twittering two.
And I'd not have love make too much ado
With sweet parades of fondness and delight,
Lest iterant wont should make caresses trite,
Love-names mere cuckoo ousters of the true.

Oh heart can hear heart's sense in senseless nought,
And heart that's sure of heart has little speech.
What shall it tell? The other knows its thought.
What shall one doubt or question or beseech
Who is assured and knows and, unbesought,
Possesses the dear trust that each gives each",Love
"Thus piteously Love closed what he begat:
The union of this ever-diverse pair!
These two were rapid falcons in a snare,
Condemned to do the flitting of the bat.
Lovers beneath the singing sky of May,
They wandered once; clear as the dew on flowers:
But they fed not on the advancing hours:
Their hearts held cravings for the buried day.
Then each applied to each that fatal knife,
Deep questioning, which probes to endless dole.",Love
"is even more fun than going to San Sebastian, Irún, Hendaye, Biarritz, Bayonne
or being sick to my stomach on the Travesera de Gracia in Barcelona
partly because in your orange shirt you look like a better happier St. Sebastian
partly because of my love for you, partly because of your love for yoghurt
partly because of the fluorescent orange tulips around the birches
partly because of the secrecy our smiles take on before people and statuary
it is hard to believe when I’m with you that there can be anything as still
as solemn as unpleasantly definitive as statuary when right in front of it
in the warm New York 4 o’clock light we are drifting back and forth
between each other like a tree breathing through its spectacles

and the portrait show seems to have no faces in it at all, just paint
you suddenly wonder why in the world anyone ever did them
                                                                                                              I look",Love
"I’ve been blessed
with a few gusts of wind,
a few loves
to wave goodbye to.
I still think of mother’s kitchen,
sorry for tantrums
of way back when. No frost
lodged in me then. In those days
snow spread through town
like an epidemic: how archival
the blankness seemed.
If you flew above
the shell of the old house
it was nothing really:
there was no story
to our little ranch house,
so you couldn’t hear a thing.",Mythology
"In Xanadu did Kubla Khan
A stately pleasure dome decree:
Where Alph, the sacred river, ran
Through caverns measureless to man
    Down to a sunless sea.
So twice five miles of fertile ground
With walls and towers were girdled round:
And there were gardens bright with sinuous rills,
Where blossomed many an incense-bearing tree;
And here were forests ancient as the hills,
Enfolding sunny spots of greenery.

But oh! that deep romantic chasm which slanted
Down the green hill athwart a cedarn cover!
A savage place! as holy and enchanted
As e’er beneath a waning moon was haunted
By woman wailing for her demon lover!
And from this chasm, with ceaseless turmoil seething,
As if this earth in fast thick pants were breathing,
A mighty fountain momently was forced:
Amid whose swift half-intermitted burst
Huge fragments vaulted

 like

 rebounding hail,

Or chaffy grain beneath the thresher’s flail:",Mythology
"When Christ was on earth, the dogwood grew
To a towering size with a lovely hue.
Its branches were strong and interwoven
And for Christ's cross its timbers were chosen

Being distressed at the use of the wood
Christ made a promise which still holds good:
""Not ever again shall the dogwood grow
To be large enough for a tree, and so",Religion
"Haven’t they moved like rivers—
like Glory, like light—
over the seven days of your body?

And wasn’t that good?
Them at your hips—

isn’t this what God felt when he pressed together
the first Beloved: Everything.
Fever. Vapor. Atman. Pulsus. Finally,
a sin worth hurting for. Finally, a sweet, a
You are mine.

It is hard not to have faith in this:
from the blue-brown clay of night
these two potters crushed and smoothed you
into being—grind, then curve—built your form up—

atlas of bone, fields of muscle,
one breast a fig tree, the other a nightingale,
both Morning and Evening.

O, the beautiful making they do—
of trigger and carve, suffering and stars—",Love
"If wisdom fail me not,
As seer misled by doubtful auguries,
And wanting counsel wise,
She comes, true augur with foreshadowing tread,
Vengeance, with hands that bear
The might of righteousness:
She comes, my child, full soon, in hot pursuit:
And through my veins there springs a courage new,
Hearing but now these dreams
That come with favouring gale;
For he, thy father, King of all Hellenes,
Will not forget for aye,
Nor will that hatchet with its double edge,
Wrought out in bronze of old,
Which laid him low in death
With vilest contumely.

    II

And She shall also come,
Dread form, with many a foot, and many a hand,
Erinnyes shod with brass,
Who lieth still in ambush terrible:
For there has come to those
For whom it was not right,
The hot embrace of marriage steeped in blood,
Of evil omen, bed and bride alike;
But, above all, this thought
Fills heart and soul, that ne'er
The boding sign will come unblamed to those
Who did the deed, or shared;
Lo! men can find no prophecies in dreams,
Nor yet in words divine,
Unless it gain its goal,
This vision of the night.",Mythology
"The quintessence of every sprite
	Heaven would in little show.
	Therefore Heaven Nature charged
	That one body should be fill'd
	With all graces wide-enlarged:
	Nature presently distill'd	120
	Helen's cheek, but not her heart,
	Cleopatra's majesty,
	Atalanta's better part,
	Sad Lucretia's modesty.
	Thus Rosalind of many parts
	By heavenly synod was devised,
	Of many faces, eyes and hearts,
	To have the touches dearest prized.
	Heaven would that she these gifts should have,
	And I to live and die her slave.",Mythology
"and right now, I’m spending most of my time
on the two matters of which I seem to know the least –
love; and poetry.

maybe it’s good I feel like this; after all,
they’re two pretty big things in their way;
and if it’s frustrating that
I don’t seem to get anywhere,
or understand any more,
maybe that’s good too since
it keeps me at it
and out of harm’s way
as they say",Love
"The golden gift that Nature did thee give
To fasten friends and feed them at thy will
With form and favour, taught me to believe
How thou art made to show her greatest skill,
Whose hidden virtues are not so unknown
But lively dooms might gather at the first:
Where beauty so her perfect seed hath sown
Of other graces follow needs there must.
Now certes, lady, since all this is true,
That from above thy gifts are thus elect,
Do not deface them then with fancies new,
Nor change of minds let not thy mind infect,
But mercy him, thy friend, that doth thee serve,
Who seeks alway thine honour to preserve. ",Nature
"When I go up through the mowing field,
     The headless aftermath,
Smooth-laid like thatch with the heavy dew,
     Half closes the garden path.

And when I come to the garden ground,
     The whir of sober birds
Up from the tangle of withered weeds
     Is sadder than any words.

A tree beside the wall stands bare,
     But a leaf that lingered brown,
Disturbed, I doubt not, by my thought,
     Comes softly rattling down.

I end not far from my going forth
     By picking the faded blue
Of the last remaining aster flower
     To carry again to you.",Nature
"1
infant encoil’d
inside a worm

2
The Throne of Mary

throne of wisdom 
on which
the babe sits

he holds 
a little sign marked
EGO

3
Pity

a flying horse
swoops down
a rider scoops
the babe up
in his arms

4
Eve

she gnaws the apple in
the serpent’s mouth

5
Behold this Midnight Glory;
Worlds, on Worlds.",Mythology
"Had we but world enough and time,
This coyness, lady, were no crime.
We would sit down, and think which way
To walk, and pass our long love’s day.
Thou by the Indian Ganges’ side
Shouldst rubies find; I by the tide
Of Humber would complain. I would
Love you ten years before the flood,
And you should, if you please, refuse
Till the conversion of the Jews.
My vegetable love should grow
Vaster than empires and more slow;
An hundred years should go to praise
Thine eyes, and on thy forehead gaze;
Two hundred to adore each breast,
But thirty thousand to the rest;
An age at least to every part,
And the last age should show your heart.
For, lady, you deserve this state,
Nor would I love at lower rate",Love
"Symbol of shame--mysterious sign
Of groans, and agonies and blood,
Hail, pledge of love and peace divine
From God.
 
Symbol of hope to those that stray,--
The pilgrim's step is led to thee;
Star of the soul thou guid'st the way
To Calvary.
 
Symbol of tears--I look, and mourn
His woes, whose soul for mine was riven;
Where, wanderer, is thy due return
To heaven?
 
Symbol of empire--thou shalt rise
And shine, where lands in darkness sit,
On Indian domes that greet the skies
And minaret.
 
Symbol of glory--when no more
The monarch seeks a fleeting throne,
Thy victim once, shall worlds adore
The God alone. ",Religion
"And it was as we’d been told it would be: some stumbling wingless;
others flew beheaded. But at first when we looked at them, we could
see no difference, the way it can take a while to realize about how
regretfulness is not regret. As for being frightened: though for many
animals the governing instinct, when most afraid, is to attack, what about
the tendency of songbirds, in a storm, toward silence—is that fear, too?
For mostly, yes, we were silent—tired, as well, though as much out of
boredom as for the need to stretch a bit, why not the rest on foot, we
at last decided—and dismounting, each walked with his horse close
beside him. We mapped our way north by the stars, old school, until there
were no stars, just the weather of childhood, where it’s snowing forever.",Mythology
"At the end of the story,
When the plague has arrived,
The performance can begin.

Displacing flimsy heaven
And its contraptions, now
Come practical urgencies:

Getting the price of salvation,
Divined from the guts of birds
Or from cruciform insects. Like

The savior Oedipus, kittens
Are histrionic: defiant swagger
Then ritual flight in terror.

ï¿½The soul of the cat is the form
Of its body.ï¿½ In Christendom,
Civic mourners were hired

To walk the stricken city ways
Chanting: ï¿½I am sick, I must
Die?ï¿½?Lord have mercy on us.ï¿½",Religion
"And on the first day 
god made 
something up. 
Then everything came along: 

seconds, sex and 
beasts and breaths and rabies; 
hunger, healing, 
lust and lust’s rejections; 
swarming things that swarm 
inside the dirt; 
girth and grind 
and grit and shit and all shit’s functions; 
rings inside the treetrunk 
and branches broken by the snow; 
pigs’ hearts and stars, 
mystery, suspense and stingrays; 
insects, blood 
and interests and death; 
eventually, us, 
with all our viruses, laments and curiosities; 
all our songs and made-up stories; 
and our songs about the stories we’ve forgotten; 
and all that we’ve forgotten we’ve forgotten; 

and to hold it all together god made time 
and those rhyming seasons 
that display decay.",Nature
"

All nature has a feeling: woods, fields, brooks
Are life eternal: and in silence they
Speak happiness beyond the reach of books;
There's nothing mortal in them; their decay
Is the green life of change; to pass away
And come again in blooms revivified.
Its birth was heaven, eternal it its stay,
And with the sun and moon shall still abide
Beneath their day and night and heaven wide. ",Nature
